site_number,time,species,honeybee/native/exotic,svd,proportion_agriculture,visits/flower/5mins,pollen_grains/5min
1,12:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.008928571,0.952110389
1,18:00,Delia sp,exotic,2.6535206,0.935875066,0.014814815,0.039311416
1,10:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,10:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,14:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,16:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,16:00,Lasioglossum sp,native,30.14285714,0.935875066,0.0125,0.376785714
1,18:00,Delia sp,exotic,2.6535206,0.935875066,0.033333333,0.088450687
1,18:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,18:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,20:00,Apis mellifera,honeybee,123.03125,0.935875066,0,0
1,16:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.035714286,3.808441557
1,10:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,12:00,Apis mellifera,honeybee,123.03125,0.935875066,0.238888889,29.39079861
1,14:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,16:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,12:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,10:00,Eristalis tenax,exotic,106.6363636,0.935875066,0,0
1,14:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,8:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,12:00,Lasioglossum sp,native,30.14285714,0.935875066,0.022222222,0.66984127
1,8:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,10:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,8:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,16:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,16:00,Delia sp,exotic,2.6535206,0.935875066,0,0
1,18:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0.021428571,0.136363636
1,20:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,12:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,14:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,14:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.006410256,0.683566433
1,14:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,18:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.039473684,4.209330142
1,14:00,Apis mellifera,honeybee,123.03125,0.935875066,0,0
1,16:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.105820106,11.28427128
1,20:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,18:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,18:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0.00625,0.039772727
1,18:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,20:00,Eristalis tenax,exotic,106.6363636,0.935875066,0,0
1,20:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,16:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,16:00,Lasioglossum sp,native,30.14285714,0.935875066,0.047619048,1.43537415
1,14:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,18:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,14:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,8:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,18:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,16:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,16:00,Apis mellifera,honeybee,123.03125,0.935875066,0.111111111,13.67013889
1,12:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,16:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,12:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.053030303,5.654958676
1,16:00,Apis mellifera,honeybee,123.03125,0.935875066,0.148148148,18.22685185
1,8:00,Delia sp,exotic,2.6535206,0.935875066,0.018648019,0.049482902
1,10:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,20:00,Apis mellifera,honeybee,123.03125,0.935875066,0,0
1,20:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,14:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,18:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,14:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,10:00,Delia sp,exotic,2.6535206,0.935875066,0.016806723,0.044596985
1,20:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,16:00,Delia sp,exotic,2.6535206,0.935875066,0.018518519,0.04913927
1,18:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0.011363636,0.07231405
1,16:00,Apis mellifera,honeybee,123.03125,0.935875066,0.254545455,31.31704545
1,20:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,18:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0.017045455,0.278686886
1,18:00,Delia sp,exotic,2.6535206,0.935875066,0,0
1,16:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,8:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,16:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.011695906,1.247208931
1,14:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,16:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,12:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.046153846,4.92167832
1,18:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,20:00,Eristalis tenax,exotic,106.6363636,0.935875066,0,0
1,20:00,Eristalis tenax,exotic,106.6363636,0.935875066,0,0
1,14:00,Delia sp,exotic,2.6535206,0.935875066,0.083333333,0.221126717
1,12:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,18:00,Delia sp,exotic,2.6535206,0.935875066,0,0
1,14:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,16:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,18:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,12:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,18:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,18:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,8:00,Bombus terrestris,exotic,236.625,0.935875066,0.011904762,2.816964286
1,16:00,Delia sp,exotic,2.6535206,0.935875066,0.025974026,0.068922613
1,14:00,Apis mellifera,honeybee,123.03125,0.935875066,0.111111111,13.67013889
1,20:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,10:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,10:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,12:00,Delia sp,exotic,2.6535206,0.935875066,0,0
1,14:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,18:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,16:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,14:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,10:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,16:00,Delia sp,exotic,2.6535206,0.935875066,0.005847953,0.015517664
1,18:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.015151515,1.615702479
1,18:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,16:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,20:00,Delia sp,exotic,2.6535206,0.935875066,0.026666667,0.070760549
1,12:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0,0
1,20:00,Eristalis tenax,exotic,106.6363636,0.935875066,0,0
1,18:00,Delia sp,exotic,2.6535206,0.935875066,0.022727273,0.060307286
1,12:00,Delia sp,exotic,2.6535206,0.935875066,0.013333333,0.035380275
1,18:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,14:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,16:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,18:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,20:00,Apis mellifera,honeybee,123.03125,0.935875066,0,0
1,12:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,20:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,16:00,Delia sp,exotic,2.6535206,0.935875066,0.010582011,0.028079583
1,18:00,Helophilus hochstetteri,native,99,0.935875066,0.007575758,0.75
1,20:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,18:00,Apis mellifera,honeybee,123.03125,0.935875066,0.152,18.70075
1,18:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.031746032,3.385281384
1,18:00,Helophilus hochstetteri,native,99,0.935875066,0.024,2.376
1,12:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0.005555556,0.035353535
1,16:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,12:00,Lasioglossum sp,native,30.14285714,0.935875066,0.049107143,1.480229592
1,16:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,16:00,Apis mellifera,honeybee,123.03125,0.935875066,0.061403509,7.554550439
1,20:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,18:00,Delia sp,exotic,2.6535206,0.935875066,0.014285714,0.037907437
1,16:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,16:00,Apis mellifera,honeybee,123.03125,0.935875066,0.142857143,17.57589286
1,16:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,16:00,Apis mellifera,honeybee,123.03125,0.935875066,0.16875,20.76152344
1,10:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,18:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,16:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,14:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,16:00,Bombus terrestris,exotic,236.625,0.935875066,0,0
1,14:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0.003703704,0.023569024
1,10:00,Lasioglossum sp,native,30.14285714,0.935875066,0.004329004,0.130488559
1,10:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,16:00,Helophilus hochstetteri,native,99,0.935875066,0,0
1,18:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.05625,5.998295453
1,16:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,16:00,Apis mellifera,honeybee,123.03125,0.935875066,0.104395604,12.8439217
1,18:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.042735043,4.557109556
1,18:00,Apis mellifera,honeybee,123.03125,0.935875066,0.03968254,4.88219246
1,20:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,18:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,18:00,Apis mellifera,honeybee,123.03125,0.935875066,0,0
1,18:00,Apis mellifera,honeybee,123.03125,0.935875066,0.045454546,5.592329546
1,18:00,Eristalis tenax,exotic,106.6363636,0.935875066,0.017921147,1.911045943
1,16:00,Lasioglossum sp,native,30.14285714,0.935875066,0,0
1,20:00,Delia sp,exotic,2.6535206,0.935875066,0.017241379,0.045750355
1,20:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,8:00,Oxysarcodexia varia,exotic,32.52781882,0.935875066,0,0
1,16:00,Leioproctus sp,native,153.2,0.935875066,0,0
1,8:00,Anthomyia punctipennis,exotic,16.34963067,0.935875066,0,0
1,8:00,Melanostoma fasciatum,native,6.36363636,0.935875066,0.008695652,0.055335968
1,18:00,Helophilus hochstetteri,native,99,0.935875066,0,0
